20211126-201835<DEBUG:0000A56C>: [PrevInitCore]:1, start tickers = 31915777798971
20211126-201835<ERROR:0000A56C>: GetString(2, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(3, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(4, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(5, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(6, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(7, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(8, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(9, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(10, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(11, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(12, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(13, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(14, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(15, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(16, Level) failed !
20211126-201835<ERROR:0000A56C>: GetString(17, Level) failed !
20211126-201835<DEBUG:0000A56C>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 1843922634
20211126-201835<DEBUG:0000A56C>: KGLOG_PROCESS_ERROR(nCount >= 3) at line 69 in _g_GetColorValue
20211126-201840<DEBUG:0000A56C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-201840<ERROR:0000A56C>: GetInteger(12, 1) failed !
20211126-201841<DEBUG:0000A56C>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-201841<DEBUG:0000A56C>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-201841<ERROR:0000A56C>: Script stack leak! (2)
20211126-201904<DEBUG:0000A56C>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-201905<ERROR:0000A56C>: GetInteger(141, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(141, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(141, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(141, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(142, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(142, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(142, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(142, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(143, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(143, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(143, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(143, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(144, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(144, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(144, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(144, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(145, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(145, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(145, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(145, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(146, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(146, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(146, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(146, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(147, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(147, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(147, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(147, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(148, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(148, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(148, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(148, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(149, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(149, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(149, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(149, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(150, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(150, Point_x) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(150, Point_y) failed !
20211126-201905<ERROR:0000A56C>: GetString(150, Content) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(151, Type) failed !
20211126-201905<ERROR:0000A56C>: GetInteger(151, Point_x) failed !
