MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	云中镇
2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	龙门镇
3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	永乐镇
4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	稻香村
5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	江津村
6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	石鼓镇
7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	龙泉村
8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	巴陵县
9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	少林派
10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	天忍教
11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	萨满教
12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	昆仑派
13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	西夏一品堂
14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	武当派
15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	丐帮
16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	峨嵋派
17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	翠烟门
18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	唐门
19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	大理段氏
20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	五毒教
21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	长歌门
22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	天王帮
23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	汴京府
24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	凤翔府
25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	襄阳府
26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	扬州府
27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	成都府
28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	大理府
29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	临安府
30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	古战场
31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	龙门客栈
32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	军马场
33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	梅花岭
34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	长江河谷
35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	白族市集
36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	雁荡龙湫
37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	洞庭湖畔
38	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	镇东墓园
39	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	祁连山
40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	潼关
41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	淮水沙洲
42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	蜀南竹海
43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	茶马古道
44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	铸剑坊
45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	岳阳楼
46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	后山禁地
47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	天忍教禁地
48	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	见性峰
49	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	天柱峰
50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	姑苏水榭
51	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	九老峰
52	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	百花谷
53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	翡翠湖
54	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	南夷部落
55	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	青螺岛
56	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	塔林东部
57	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	金国皇陵一层
58	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	冰穴迷宫一层
59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	龙虎幻境东部
60	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	燕子坞外围
61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	九老洞一层
62	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	百花阵外阵
63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	湖畔竹林东部
64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	原始森林东部
65	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	芦苇荡东南部
66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	塔林西部
67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	金国皇陵二层
68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	冰穴迷宫二层
69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	龙虎幻境西部
70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	燕子坞中段
71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	九老洞二层
72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	百花阵内阵
73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	湖畔竹林西部
74	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	原始森林西部
75	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	芦苇荡西北部
76	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	塔林中部
77	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	金国皇陵三层
78	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	冰穴迷宫三层
