Date	LeagueName	LeagueMembers	LeagueTask_1	LeagueTask_4	LeagueTask_5	LeagueTask_6	LeagueTask_7	LeagueTask_8	LeagueTask_17
202107300127	ThanhBG	ThanhII	1	1	0	0	0	0	0
202107300127	dddddddd	ThanhHHD	1	1	0	0	0	0	0
202107300127	ewqeqweq	ThanhFFB	1	1	0	0	0	0	0
202107300127	ewwerwerew	ThanhHHA	1	1	0	0	0	0	0
202107300127	ffffffffffff	haichuII	1	1	0	0	0	0	0
202107300127	hfghfghfghfg	ThanhVVV	1	1	0	0	0	0	0
202107300127	sdfsdf	ThanhHHB	1	1	0	0	0	0	0
202107300127	testgame	tttttttt	1	1	0	0	0	0	0
202107300127	werewrwerwe	ThanhOOOOO	1	1	0	0	0	0	0
202107300127	ểtrtẻ	ThanhFFC	1	1	0	0	0	0	0
