Date	LeagueName	LeagueMembers	LeagueTask_1	LeagueTask_4	LeagueTask_5	LeagueTask_6	LeagueTask_7	LeagueTask_8	LeagueTask_17
202107211958	ThanhBG	ThanhII	1	1	0	0	0	0	0
202107211958	dddddddd	ThanhHHD	1	1	0	0	0	0	0
202107211958	ewqeqweq	ThanhFFB	1	1	0	0	0	0	0
202107211958	ewwerwerew	ThanhHHA	1	1	0	0	0	0	0
202107211958	ffffffffffff	haichuII	1	1	0	0	0	0	0
202107211958	hfghfghfghfg	ThanhVVV	1	1	0	0	0	0	0
202107211958	sdfsdf	ThanhHHB	1	1	0	0	0	0	0
202107211958	testgame	tttttttt	1	1	0	0	0	0	0
202107211958	werewrwerwe	ThanhOOOOO	1	1	0	0	0	0	0
202107211958	ểtrtẻ	ThanhFFC	1	1	0	0	0	0	0
