Date	LeagueName	LeagueMembers	LeagueTask_1	LeagueTask_4	LeagueTask_5	LeagueTask_6	LeagueTask_7	LeagueTask_8	LeagueTask_17
202107282106	ThanhBG	ThanhII	1	1	0	0	0	0	0
202107282106	dddddddd	ThanhHHD	1	1	0	0	0	0	0
202107282106	ewqeqweq	ThanhFFB	1	1	0	0	0	0	0
202107282106	ewwerwerew	ThanhHHA	1	1	0	0	0	0	0
202107282106	ffffffffffff	haichuII	1	1	0	0	0	0	0
202107282106	hfghfghfghfg	ThanhVVV	1	1	0	0	0	0	0
202107282106	sdfsdf	ThanhHHB	1	1	0	0	0	0	0
202107282106	testgame	tttttttt	1	1	0	0	0	0	0
202107282106	werewrwerwe	ThanhOOOOO	1	1	0	0	0	0	0
202107282106	ểtrtẻ	ThanhFFC	1	1	0	0	0	0	0
