Date	LeagueName	LeagueMembers	LeagueTask_1	LeagueTask_4	LeagueTask_5	LeagueTask_6	LeagueTask_7	LeagueTask_8	LeagueTask_17
202107190710	ThanhBG	ThanhII	1	1	0	0	0	0	0
202107190710	dddddddd	ThanhHHD	1	1	0	0	0	0	0
202107190710	ewqeqweq	ThanhFFB	1	1	0	0	0	0	0
202107190710	ewwerwerew	ThanhHHA	1	1	0	0	0	0	0
202107190710	ffffffffffff	haichuII	1	1	0	0	0	0	0
202107190710	hfghfghfghfg	ThanhVVV	1	1	0	0	0	0	0
202107190710	sdfsdf	ThanhHHB	1	1	0	0	0	0	0
202107190710	testgame	tttttttt	1	1	0	0	0	0	0
202107190710	werewrwerwe	ThanhOOOOO	1	1	0	0	0	0	0
202107190710	ểtrtẻ	ThanhFFC	1	1	0	0	0	0	0
